"方向","代碼","名稱","訂單價格","訂單數量","訂單金額","交易狀態","已成交@均價","下單時間","類型","期限","盤前競價","時段","觸發價","允許開倉","市場","幣種","訂單來源","成交數量","成交價格","成交金額","成交時間","市場","幣種","對手經紀","備註","佣金","平台使用費","交收費","印花稅","交易費","證監會徵費","財匯局徵費","綜合審計跟蹤監管費","交易活動費","證監會規費","合計費用"
"買入","GLW","康寧","226.97","2","453.94","全部成交","2@226.79","2026/06/29 09:47:21 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","226.79","453.58","2026/06/29 09:47:21 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"買入","GLW","康寧","227.75","1","227.75","全部成交","1@227.75","2026/06/29 08:35:59 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","1","227.75","227.75","2026/06/29 08:36:00 (美東)","美股","USD","","","0.99","1","0","","","","","0","","","1.99"
"買入","GLW","康寧","228.40","1","228.40","下單失敗","0@0.00","2026/06/29 08:35:03 (美東)","止損限價單","當日有效","","盤前+盤中+盤後","228.20","不允許","美股","USD","","","","","","","","","","","","","","","","","","","",""
"買入","GLW","康寧","227.30","2","454.60","全部成交","2@227.30","2026/06/29 08:03:07 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","227.30","454.60","2026/06/29 08:04:17 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"買入","GLW","康寧","222.00","2","444.00","全部成交","2@222.00","2026/06/29 08:00:41 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","222.00","444.00","2026/06/29 09:32:01 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","SNDK","閃迪","2033.00","2","4,066.00","全部成交","2@2034.61","2026/06/29 07:52:58 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","2034.00","不允許","美股","USD","","2","2034.61","4,069.22","2026/06/29 09:33:26 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.08","2.09"
"買入","GLW","康寧","225.00","1","225.00","全部成交","1@225.00","2026/06/28 21:13:25 (美東)","限價單","當日有效","","夜盤","","","美股","USD","","1","225.00","225.00","2026/06/29 00:42:38 (美東)","美股","USD","","","0.99","1","0","","","","","0","","","1.99"
"買入","GLW","康寧","228.00","1","228.00","全部成交","1@228.00","2026/06/28 21:13:02 (美東)","限價單","當日有效","","夜盤","","","美股","USD","","1","228.00","228.00","2026/06/28 22:12:46 (美東)","美股","USD","","","0.99","1","0","","","","","0","","","1.99"
"買入","GLW","康寧","225.00","1","225.00","已撤單","0@0.00","2026/06/28 21:12:50 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","","","","","","","","","","","","","","","","","","",""
"賣出","BNY","紐約梅隆銀行","144.60","2","289.20","全部成交","2@144.9851","2026/06/25 09:02:10 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","145.00","不允許","美股","USD","","2","144.9851","289.97","2026/06/29 10:15:02 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.01","2.02"
"買入","BNY","紐約梅隆銀行","144.71","2","289.42","全部成交","2@144.71","2026/06/25 09:01:13 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","144.71","289.42","2026/06/25 09:01:14 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","WDC","西部數據","710.00","2","1,420.00","全部成交","2@710.00","2026/06/25 08:52:37 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","711.00","不允許","美股","USD","","2","710.00","1,420.00","2026/06/25 09:30:55 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.03","2.04"
"買入","WDC","西部數據","732.77","2","1,465.54","全部成交","2@732.77","2026/06/25 08:51:51 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","732.77","1,465.54","2026/06/25 08:52:07 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"賣出","CRDO","Credo Technology","266.00","4","1,064.00","全部成交","4@267.545","2026/06/25 08:47:12 (美東)","止損限價單","撤單前有效","","盤前+盤中+盤後","267.00","不允許","美股","USD","","4","267.545","1,070.18","2026/06/25 09:55:08 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","0.01","0.02","2.03"
"買入","CRDO","Credo Technology","285.35","2","570.70","全部成交","2@285.35","2026/06/25 08:46:44 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","285.35","570.70","2026/06/25 08:46:44 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
"買入","CRDO","Credo Technology","284.55","2","569.10","全部成交","2@284.55","2026/06/25 08:41:53 (美東)","限價單","當日有效","","盤前+盤中+盤後","","","美股","USD","","2","284.55","569.10","2026/06/25 08:41:53 (美東)","美股","USD","","","0.99","1","0.01","","","","","0","","","2"
