交易
平仓时间 (UTC+8),交易品种,开仓方向,建仓价,平仓价格,平仓量,净盈利 HKD,余额 HKD
07 7 月 2026 21:54:10.726,HK50,买入,23635.3,23567.5,1 手,-67.80,14 337.21
07 7 月 2026 21:54:10.158,HK50,买入,23626.5,23569.0,5 手,-287.50,14 405.01
07 7 月 2026 21:54:10.155,HK50,买入,23631.5,23569.0,5 手,-312.50,14 692.51
07 7 月 2026 21:54:10.129,HK50,买入,23601.3,23569.0,1 手,-32.30,15 005.01
07 7 月 2026 21:54:10.113,HK50,买入,23597.8,23569.0,1 手,-28.80,15 037.31
07 7 月 2026 21:54:10.108,HK50,买入,23601.0,23569.0,1 手,-32.00,15 066.11
07 7 月 2026 21:54:10.101,HK50,买入,23635.3,23569.0,1 手,-66.30,15 098.11
07 7 月 2026 21:53:28.230,US500,买入,7527.9,7518.8,1 手,-71.37,15 164.41
07 7 月 2026 21:53:28.226,US500,买入,7526.9,7518.8,3 手,-190.57,15 235.78
07 7 月 2026 21:53:28.208,US500,买入,7531.4,7518.8,1 手,-98.82,15 426.35
07 7 月 2026 21:53:17.677,US500,买入,7527.2,7519.0,3 手,-192.93,15 706.33
07 7 月 2026 21:53:17.677,US500,买入,7526.7,7519.0,3 手,-181.16,15 525.17
07 7 月 2026 21:53:17.673,US500,买入,7526.9,7519.0,3 手,-185.87,15 899.26
07 7 月 2026 21:53:17.668,US500,买入,7531.4,7519.0,1 手,-97.25,16 085.13
07 7 月 2026 21:53:17.634,US500,买入,7531.4,7519.0,1 手,-97.25,16 182.38
07 7 月 2026 21:53:17.591,US500,买入,7526.7,7519.0,1 手,-60.39,16 279.63
07 7 月 2026 21:53:17.587,US500,买入,7526.2,7519.0,3 手,-169.40,16 340.02
07 7 月 2026 21:53:17.585,US500,买入,7531.4,7519.0,1 手,-97.25,16 509.42
07 7 月 2026 21:53:17.579,US500,买入,7527.4,7519.0,1 手,-65.88,16 606.67
07 7 月 2026 21:40:50.655,US500,卖出,7521.8,7525.9,3 手,-96.45,16 672.55
07 7 月 2026 21:40:49.122,US500,卖出,7521.8,7525.9,3 手,-96.45,16 769.00
07 7 月 2026 21:40:47.815,US500,卖出,7520.8,7526.9,3 手,-143.50,16 865.45
07 7 月 2026 21:39:42.315,US500,卖出,7521.0,7527.7,3 手,-157.61,17 008.95
07 7 月 2026 21:39:04.782,US500,卖出,7521.0,7523.9,3 手,-68.22,17 166.56
07 7 月 2026 09:34:13.942,US500,买入,7518.5,7532.2,1 手,97.51,17 234.78
07 7 月 2026 09:33:24.006,JPN225,卖出,69361.8,68851.3,0.2 手,494.51,17 137.27
07 7 月 2026 09:06:04.527,JPN225,卖出,69296.8,69173.8,0.2 手,119.00,16 642.76
07 7 月 2026 09:06:03.553,JPN225,卖出,69361.8,69183.8,0.2 手,172.21,16 523.76
07 7 月 2026 09:05:45.175,JPN225,卖出,69346.8,69163.8,0.2 手,177.06,16 351.55
07 7 月 2026 09:05:41.066,JPN225,卖出,69359.3,69166.3,0.2 手,186.73,16 174.49
07 7 月 2026 09:05:39.687,JPN225,卖出,69346.8,69158.8,0.2 手,181.89,15 987.76
07 7 月 2026 09:04:58.431,JPN225,卖出,69301.8,69216.3,0.2 手,82.72,15 805.87
07 7 月 2026 09:04:58.427,JPN225,卖出,69351.8,69216.3,0.2 手,131.09,15 723.15
